Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Trayce Jackson-Davis (32639720),Trayce Jackson-Davis,32639720,C/UTIL,3600,PHX@GSW 02/10/2024 08:30PM ET,GSW,15.46
SF/PF,Jordan Nwora (32639731),Jordan Nwora,32639731,SF/PF/F/UTIL,3500,CLE@TOR 02/10/2024 07:30PM ET,TOR,11.48
C,Kenneth Lofton Jr. (32639748),Kenneth Lofton Jr.,32639748,C/UTIL,3500,PHI@WAS 02/10/2024 07:00PM ET,PHI,5.53
PG,Cole Anthony (32639735),Cole Anthony,32639735,PG/G/UTIL,3500,CHI@ORL 02/10/2024 07:00PM ET,ORL,23.76
SG/SF,Charlie Brown (32639743),Charlie Brown,32639743,SG/SF/F/G/UTIL,3500,IND@NYK 02/10/2024 07:30PM ET,NYK,2.5
SG/SF,Gary Payton II (32639738),Gary Payton II,32639738,SG/SF/F/G/UTIL,3500,PHX@GSW 02/10/2024 08:30PM ET,GSW,13.12
SF,Ochai Agbaji (32639764),Ochai Agbaji,32639764,SF/F/UTIL,3400,CLE@TOR 02/10/2024 07:30PM ET,TOR,12.17
C,Bruno Fernando (32639750),Bruno Fernando,32639750,C/UTIL,3400,HOU@ATL 02/10/2024 07:30PM ET,ATL,8.45
PG,Aaron Holiday (32639758),Aaron Holiday,32639758,PG/G/UTIL,3400,HOU@ATL 02/10/2024 07:30PM ET,HOU,13.09
C,Anthony Gill (32639767),Anthony Gill,32639767,C/UTIL,3400,PHI@WAS 02/10/2024 07:00PM ET,WAS,4.89
PF,Tosan Evbuomwan (32639755),Tosan Evbuomwan,32639755,PF/F/UTIL,3400,MEM@CHA 02/10/2024 07:00PM ET,MEM,9.75
PF,Obi Toppin (32639761),Obi Toppin,32639761,PF/F/UTIL,3400,IND@NYK 02/10/2024 07:30PM ET,IND,20.13
SG,Moses Moody (32639752),Moses Moody,32639752,SG/G/UTIL,3400,PHX@GSW 02/10/2024 08:30PM ET,GSW,15.83
SG,Sam Merrill (32639781),Sam Merrill,32639781,SG/G/UTIL,3300,CLE@TOR 02/10/2024 07:30PM ET,CLE,14.85
PG/SG,Patty Mills (32639794),Patty Mills,32639794,PG/SG/G/UTIL,3300,HOU@ATL 02/10/2024 07:30PM ET,ATL,6.29
PG,Delon Wright (32639784),Delon Wright,32639784,PG/G/UTIL,3300,PHI@WAS 02/10/2024 07:00PM ET,WAS,13.25
