Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Chimezie Metu (32640022),Chimezie Metu,32640022,PF/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,10.88
SF,Yuta Watanabe (32640025),Yuta Watanabe,32640025,SF/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,7.28
PF/C,Lamar Stevens (32640028),Lamar Stevens,32640028,PF/C/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,6.46
SF,Jake LaRavia (32640032),Jake LaRavia,32640032,SF/F/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,6.68
PG,Desmond Bane (32640035),Desmond Bane,32640035,PG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,41.63
PG,Marcus Smart (32640038),Marcus Smart,32640038,PG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,28.31
PG,Ja Morant (32640041),Ja Morant,32640041,PG/G/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,46.67
C,Brandon Clarke (32640044),Brandon Clarke,32640044,C/UTIL,3000,MEM@CHA 02/10/2024 07:00PM ET,MEM,0
PG,Trevelin Queen (32639874),Trevelin Queen,32639874,PG/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,9.29
SF/PF,Chuma Okeke (32639877),Chuma Okeke,32639877,SF/PF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,7.91
SG/SF,Caleb Houstan (32639881),Caleb Houstan,32639881,SG/SF/F/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,8.84
SF,Jett Howard (32639886),Jett Howard,32639886,SF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,3.07
SF,Kevon Harris (32639889),Kevon Harris,32639889,SF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,0.75
SG/SF,Anthony Black (32639892),Anthony Black,32639892,SG/SF/F/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,11.7
PF,Admiral Schofield (32639897),Admiral Schofield,32639897,PF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,ORL,2.15
C,Adama Sanogo (32639980),Adama Sanogo,32639980,C/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,5
C,Terry Taylor (32639982),Terry Taylor,32639982,C/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,4.65
SF/PF,Julian Phillips (32639984),Julian Phillips,32639984,SF/PF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,3.38
SF,Henri Drell (32639988),Henri Drell,32639988,SF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,0
PG/SG,Jevon Carter (32639991),Jevon Carter,32639991,PG/SG/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,9.57
SG,Onuralp Bitim (32639995),Onuralp Bitim,32639995,SG/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,0
SF,Dalen Terry (32639998),Dalen Terry,32639998,SF/F/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,7.05
SG,Zach LaVine (32640001),Zach LaVine,32640001,SG/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,34.33
PG,Lonzo Ball (32640004),Lonzo Ball,32640004,PG/G/UTIL,3000,CHI@ORL 02/10/2024 07:00PM ET,CHI,0
PG/SG,Duane Washington Jr. (32639928),Duane Washington Jr.,32639928,PG/SG/G/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,NYK,0
C,Mitchell Robinson (32639932),Mitchell Robinson,32639932,C/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,NYK,25.38
PF,James Johnson (32640046),James Johnson,32640046,PF/F/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,4.7
C,Oscar Tshiebwe (32640049),Oscar Tshiebwe,32640049,C/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,6.46
PG,Isaiah Wong (32640051),Isaiah Wong,32640051,PG/G/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,0
PG/SG,Ben Sheppard (32640054),Ben Sheppard,32640054,PG/SG/G/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,6.85
SF,Kendall Brown (32640058),Kendall Brown,32640058,SF/F/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,2.58
PF,Jarace Walker (32640061),Jarace Walker,32640061,PF/F/UTIL,3000,IND@NYK 02/10/2024 07:30PM ET,IND,9.51
SG,Jerome Robinson (32639900),Jerome Robinson,32639900,SG/G/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,GSW,1.42
C,Usman Garuba (32639903),Usman Garuba,32639903,C/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,GSW,1.75
PG,Saben Lee (32640007),Saben Lee,32640007,PG/G/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,PHX,6.12
PG,Theo Maledon (32640010),Theo Maledon,32640010,PG/G/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,PHX,9.55
C,Udoka Azubuike (32640013),Udoka Azubuike,32640013,C/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,PHX,6.9
SF/PF,Nassir Little (32640015),Nassir Little,32640015,SF/PF/F/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,PHX,9.28
PG,Damion Lee (32640019),Damion Lee,32640019,PG/G/UTIL,3000,PHX@GSW 02/10/2024 08:30PM ET,PHX,0
